
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


= Überblick über die ÖPNV-Linien des Oberösterreichischen Verkehrsverbunds

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Ober%C3%B6sterreich/Analyse/OÖVV-Linien|OÖVV Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-O%C3%96VV Informationen] zu dieser Auswertung.
-

=Eisenbahn
S1;train;Linz <=> Garsten;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S1-O-j26-1;
S2;train;Linz <=> Wels;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S2-O-j26-1;
S3;train;Linz <=> Pregarten;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S3-O-j26-1;
S4;train;Linz <=> Kirchdorf;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S4-O-j26-1;
S5;train;Linz <=> Eferding;;;Stern & Hafferl VerkehrsgesmbH;AT-OOeVV;at:oov:49555:;
-
131;train;St. Valentin <=> Kleinreifling;;;;;;
133;train;St. Valentin <=> Sarmingstein;;;;;;
160;train;Lambach <=> Vorchdorf;;;;AT-OOeVV;at:oov:49160:;
161;train;Gmunden => Vorchdorf;;;;AT-OOeVV;at:oov:49161:;
180;train;Vöcklamarkt <=> Attersee;;;;AT-OOeVV;at:oov:49180:;
R140;train;R140 Selzthal <=> Linz;;;;;;
R141;train;R141 Linz <=> Summerau;;;;;;
R142;train;R142 Linz <=> Aigen-Schlägl;;;;;;
R143;train;Linzer Lokalbahn (LILO);;;;;;
R151;train;Simbach <=> Neumarkt;;;;;;
R153;train;Wels <=> Grünau;;;;;;
R172;train;Vöcklabruck <=> Kammer-Schörfling;;;;;;
R180;train;Attersee <=> Vöcklamarkt;;;;;;
R58;train;Selzthal <=> Amstetten;;;;;;

=Linz

==Straßenbahn
1;tram;"Linz JKU | Universität - Linz Auwiesen";;;Linz Linien GmbH;AT-Linz_AG;at:esg:1:;
2;tram;"Linz JKU | Universität - Linz solarCity";;;Linz Linien GmbH;AT-Linz_AG;at:esg:2:;
3;tram;"Landgutstraße - Trauner Kreuzung";;;Linz Linien GmbH;AT-Linz_AG;at:esg:3:;
4;tram;"Landgutstraße - Trauner Kreuzung - Schloss Traun";;;Linz Linien GmbH;AT-Linz_AG;at:esg:4:;
50;tram;"Linz Pöstlingberg - Linz Hauptplatz";;;Linz Linien GmbH;AT-Linz_AG;at:esg:50:;
N82;tram;"Linz JKU | Universität - Linz solarCity";;;Linz Linien GmbH;AT-Linz_AG;at:esg:82:;
N84;tram;"Linz Hauptbahnhof - Traun Schloss Traun";;;Linz Linien GmbH;AT-Linz_AG;at:esg:84:;

==Bus
11;bus;"Leonding Sporthalle Leonding - Linz Pichlinger See";;;Linz Linien GmbH;AT-Linz_AG;at:esg:11:;
12;bus;"Linz Karlhof - Linz Auwiesen";;;Linz Linien GmbH;AT-Linz_AG;at:esg:12:;
17;bus;"Linz Fernheizkraftwerk - Leonding Hitzing";;;Linz Linien GmbH;AT-Linz_AG;at:esg:17:;
18;bus;"Linz Turmstraße - Linz Stahlwerk";;;Linz Linien GmbH;AT-Linz_AG;at:esg:18:;
19;bus;"Linz Fernheizkraftwerk - Linz Pichlinger See";;;Linz Linien GmbH;AT-Linz_AG;at:esg:19:;
25;bus;"Linz Karlhof - Linz Oed";;;Linz Linien GmbH;AT-Linz_AG;at:esg:25:;
26;bus;"Linz St. Margarethen - Linz Stadion";;;Linz Linien GmbH;AT-Linz_AG;at:esg:26:;
27;bus;"Linz Fernheizkraftwerk - Linz Chemiepark";;;Linz Linien GmbH;AT-Linz_AG;at:esg:27:;
33;bus;"Linz Riesenhof - Steyregg Pleschinger See";;;Linz Linien GmbH;AT-Linz_AG;at:esg:33:;
38;bus;"Linz Rudolfstraße - Linz Jäger im Tal";;;Linz Linien GmbH;AT-Linz_AG;at:esg:38:;
41;trolleybus;"Linz Hessenplatz - Linz Baintwiese";;;Linz Linien GmbH;AT-Linz_AG;at:esg:41:;
43;trolleybus;"Linz Hessenplatz - Traun Stadtfriedhof Linz";;;Linz Linien GmbH;AT-Linz_AG;at:esg:43:;
45;trolleybus;"Linz Stieglbauernstraße - Linz Froschberg";;;Linz Linien GmbH;AT-Linz_AG;at:esg:45:;
46;trolleybus;"Linz Hafen - Linz Froschberg";;;Linz Linien GmbH;AT-Linz_AG;at:esg:46:;
70;bus;"Linz Schiffswerft - Traun Stadtfriedhof Linz";;;Linz Linien GmbH;AT-Linz_AG;at:esg:70:;
71;bus;"Linz Industriezeile - Linz Baintwiese";;;Linz Linien GmbH;AT-Linz_AG;at:esg:71:;
72;bus;"Linz Schiffswerft - Traun Stadtfriedhof Linz";;;Linz Linien GmbH;AT-Linz_AG;at:esg:72:;
