
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#

# Überblick über die ÖPNV-Linien des "Salzburger Verkehrsverbund" (SVV)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Salzburg/Analyse/SVV-Linien|SVV Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-SVV Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
== Bahnen
=== Regional-Express
LEX11;train;;Salzburg;Ostermiething;Salzburg AG (Salzburger Lokalbahn);AT-SVV;at:svv:53:
-
# weitere Linien

=== Regionalbahn
R33;train;;Zell am See;Krimml;Salzburg AG (Pinzgauer Lokalbahn);AT-SVV;at:svv:230:
-
# weitere Linien

=== S-Bahn
S1;train;;Salzburg;Lamprechtshausen;Salzburg AG (Salzburger Lokalbahn);AT-SVV;at:svv:50:
S11;train;;Salzburg;Ostermiething;Salzburg AG (Salzburger Lokalbahn);AT-SVV;at:svv:51:
-

=== S-Bahn der ÖBB
S2;train;"2025-12-14 - 2026-12-12";Straßwalchen;Freilassing;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S2-S-j26-1;
S3;train;"2025-12-14 - 2026-12-12";Saalfelden;Reichenhall;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S3-S-j26-1;

=== ÖBB Züge
R3;train;"2025-12-14 - 2026-12-12";Saalfelden;Salzburg Hbf;ÖBB-Personenverkehr AG;AT-Eisenbahn;3-R3-S-j26-1;
R9;train;"2025-12-14 - 2026-12-12; might be former 250";;;ÖBB-Personenverkehr AG;AT-Eisenbahn;3-R9-S-j26-1;
R21;train;"2025-12-14 - 2026-12-12";Salzburg Hbf;Friedburg;ÖBB-Personenverkehr AG;AT-Eisenbahn;3-R21-j26-1;
REX3;train;"2025-12-14 - 2026-12-12";Salzburg Hbf;Schwarzach-St. Veit;ÖBB-Personenverkehr;AT-Eisenbahn;2-RX3-S-j26-1;

# weitere Linien

== Busse
=== Obus
1;trolleybus;;Kleßheim Kavalierhaus;Salzburgarena;Salzburg AG;AT-SVV;at:svv:100:
2;trolleybus;;Walserfeld Schule;Obergnigl;Salzburg AG;AT-SVV;at:svv:200:
3;trolleybus;;Salzburg Süd;Landstraße;Salzburg AG;AT-SVV;at:svv:300:
4;trolleybus;;Mayrwies;Forellenwegsiedlung;Salzburg AG;AT-SVV;at:svv:400:
5;trolleybus;;Grödig Untersbergbahn;Fanny-v.-Lehnert-Straße;Salzburg AG;AT-SVV;at:svv:500:
6;trolleybus;;Parsch;Itzling West;Salzburg AG;AT-SVV;at:svv:600:
7;trolleybus;;Salzburg Süd;Salzachsee;Salzburg AG;AT-SVV;at:svv:700:
8;trolleybus;;Salzburg Süd;Salzburgarena;Salzburg AG;AT-SVV;at:svv:800:
9;trolleybus;;Europark;Justizgebäude;Salzburg AG;AT-SVV;at:svv:900:
10;trolleybus;;Lankessiedlung;Walserfeld Schule;Salzburg AG;AT-SVV;at:svv:1000:
12;trolleybus;;Europark;Josefiau;Salzburg AG;AT-SVV;at:svv:1200:
14;trolleybus;;Polizeidirektion;Forellenwegsiedlung;Salzburg AG;AT-SVV;at:svv:1400:

=== Stadtverkehre
==== Stadtverkehr Salzburg
11;bus;;Josefiau;Salzburgarena;Albus;AT-SVV;at:svv:1100:
17;bus;;Ferdinand-Hanusch-Platz;Johannes-Filzer-Straße;Albus;AT-SVV;at:svv:1700:
21;bus;;Fürstenbrunn Buskehre;Bergheim S-Bahn;Albus;AT-SVV;at:svv:2100:
22;bus;;Josefiau;Makartplatz;Albus;AT-SVV;at:svv:2200:
23;bus;;Ferdinand-Hanusch-Platz;Obergnigl;Albus;AT-SVV;at:svv:2300:
24;bus;;Ferdinand-Hanusch-Platz;Freilassing Sonnenfeld;Albus;AT-SVV;at:svv:2400:
25;bus;;Hauptbahnhof;Grödig Untersbergbahn;Albus;AT-SVV;at:svv:2500:
27;bus;;Sportzentrum Nonntal;Walserfeld Schule;Albus;AT-SVV;at:svv:2700:
28;bus;;Europark;Ferdinand-Hanusch-Platz;Albus;AT-SVV;at:svv:2800:
31;bus;;Viehhausen;Siezenheim;Österreichische Postbus AG;AT-SVV;at:svv:383100:
31;bus;;Walserfeld Schule;Siezenheim Ortsmitte;Albus;AT-SVV;at:svv:383102:
32;bus;;Walserfeld;Viehhausen;Österreichische Postbus AG;AT-SVV;at:svv:383200:
34;bus;;Europark;Christian-Doppler-Klinik;Albus;AT-SVV;at:svv:3400:;
35;bus;;Fürstenbrunn;Hallein;Albus;AT-SVV;at:svv:383500:;
36;bus;;Europark;Wals Feuerwehr;Albus;AT-SVV;at:svv:383600:;
37;bus;;Grödig;Walserfeld;Schwab Reisen;AT-SVV;at:svv:383700:

==== Stadtverkehr Hallein
41;bus;;Hallein;Bad Dürrnberg;Breuss;AT-SVV;at:svv:384100:
42;bus;;Hallein;Bad Vigaun;Breuss;AT-SVV;at:svv:384200:
43;bus;;Hallein Bahnhof (West);Neualm;Breuss;AT-SVV;at:svv:384300:
44;bus;;Hallein;Rif;Breuss;AT-SVV;at:svv:384400:

==== Stadtverkehr Bischofshofen/St. Johann im Pongau
50;bus;;Bischofshofen;Sankt Johann im Pongau;Österreichische Postbus AG;AT-SVV;at:svv:385000:
51;bus;Citybus Sankt Johann;Postamt;Reinbachsiedlung;Österreichische Postbus AG;AT-SVV;at:svv:385100:
52;bus;Citybus Sankt Johann;Postamt;Plankenau;Österreichische Postbus AG;AT-SVV;at:svv:385200:
53;bus;Citybus Sankt Johann;Postamt;Hub;Österreichische Postbus AG;AT-SVV;at:svv:385300:
55;bus;Citybus Bischofshofen;Südtiroler Straße;Mitterberghütten;Hogger mobil;AT-SVV;at:svv:385500:

==== Stadtverkehr Saalfelden
60;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:386000:
61;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:386100:
62;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:386200:

==== Stadtverkehr Zell am See
70;bus;;Thumersbach;Bruckberg;Hogger mobil;AT-SVV;at:svv:387000:;
71;bus;;Postplatz;Schmittenhöhebahn;Hogger mobil;AT-SVV;at:svv:387100:;
