
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


= Überblick über die ÖPNV-Linien des Verkehrsverbund Steiermark (Verbund Linie)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Steiermark/Analyse/VVSt-Linien|VVSt Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-VVSt Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
== S-Bahn
S1;train;;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;at:obb:1|S1:M
S11;train;;;;Steiermarkbahn und Bus GmbH;AT-VVSt;at:stv:7011:
S3;train;;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;at:obb:1|S3:M
S31;train;;;;Steiermarkbahn und Bus GmbH;AT-VVSt;at:stv:7031:
S5;train;;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;at:obb:1|S5:M
S51;train;;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S51-M-j25-1
S6;train;;;;Graz-Köflacher Bahn und Busbetrieb GmbH;AT-VVSt;at:stv:7006:
S61;train;;;;Graz-Köflacher Bahn und Busbetrieb GmbH;AT-VVSt;at:stv:7061:
S7;train;;;;Graz-Köflacher Bahn und Busbetrieb GmbH;AT-VVSt;at:stv:7007:
S8;train;;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;at:obb:1|S8:M
S9;train;;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;at:obb:1|S9:M
-
#
==Eisenbahn
R250;train;R250 Bischofshofen – St. Michael;;ÖBB
R530;train;R530;Fehring - Szentgotthárd;;ÖBB
R532;train;Feldbach - Bad Gleichenberg;;StB;;AT-VVSt;at:stv:7532:
R630;train;R630 Unzmarkt – Tamsweg;;StB;;AT-VVSt;at:stv:8063:
R91;train;R91 Payerbach – Mürzzuschlag;;ÖBB;;AT-Eisenbahn;3-R91-A-j25-1
R92;train;R92 Wr. Neustadt – Fehring;;ÖBB;;AT-Eisenbahn;3-R92-N-j25-1
-
#
== Stadtverkehr Graz
=== Straßenbahn
1;tram;;Mariatrost;Eggenberg/UKH;Graz Linien;AT-VVSt;at:stv:1:
3;tram;;Krenngasse;Andritz;Graz Linien;AT-VVSt;at:stv:3:
4;tram;;Liebenau;Reininghaus;Graz Linien;AT-VVSt;at:stv:4:
5;tram;;Puntigam;Andritz;Graz Linien;AT-VVSt;at:stv:5:
6;tram;;Sankt Peter;Smart City/Peter-Tunner-Gasse/tim;Graz Linien;AT-VVSt;at:stv:6:
7;tram;;LKH Med Uni/Klinikum Nord;Wetzelsdorf;Graz Linien;AT-VVSt;at:stv:7:
23;tram;;Jakominiplatz;Krenngasse;Graz Linien;AT-VVSt;at:stv:23:
-
#
=== Bus (Stadt- und Umlandverkehr Graz)
30;bus;;;;Graz Linien;AT-VVSt;at:stv:30:
31;bus;;;;Graz Linien;AT-VVSt;at:stv:31:
31E;bus;;;;Graz Linien;AT-VVSt;at:stv:1031:
32;bus;;;;Graz Linien;AT-VVSt;at:stv:32
33;bus;;;;Graz Linien;AT-VVSt;at:stv:33:
34;bus;;;;Graz Linien;AT-VVSt;at:stv:34:
34E;bus;;;;Graz Linien;AT-VVSt;at:stv:1034:
39;bus;;;;Graz Linien;AT-VVSt;at:stv:39:
40;bus;;;;Graz Linien;AT-VVSt;at:stv:40:
41;bus;;;;Graz Linien;AT-VVSt;at:stv:41:
41E;bus;;;;Graz Linien;AT-VVSt;at:stv:1041:
45;bus;;;;Handl;AT-VVSt;at:stv:45:
48;bus;;;;Graz Linien;AT-VVSt;at:stv:48:
52;bus;;;;Graz Linien;AT-VVSt;at:stv:52:
52E;bus;;;;Graz Linien;AT-VVSt;at:stv:1052:
52Z;bus;;;;Graz Linien;AT-VVSt;at:stv:2052:
53;bus;;;;Graz Linien;AT-VVSt;at:stv:53:
58;bus;;;;Graz Linien;AT-VVSt;at:stv:58:
60;bus;;;;Graz Linien;AT-VVSt;at:stv:60:
61;bus;;;;Watzke;AT-VVSt;at:stv:61:
62;bus;;;;Graz Linien;AT-VVSt;at:stv:62:
63;bus;;;;Graz Linien;AT-VVSt;at:stv:63:
64;bus;;;;Graz Linien;AT-VVSt;at:stv:64:
64E;bus;;;;Graz Linien;AT-VVSt;at:stv:1064:
65;bus;;;;Graz Linien;AT-VVSt;at:stv:65:
65A;bus;;;;Graz Linien;AT-VVSt;at:stv:2065:
65E;bus;;;;Graz Linien;AT-VVSt;at:stv:1065:
66;bus;;;;Graz Linien;AT-VVSt;at:stv:66:
67;bus;;;;Graz Linien;AT-VVSt;at:stv:67:
67E;bus;;;;Graz Linien;AT-VVSt;at:stv:1067:
68;bus;;;;Graz Linien;AT-VVSt;at:stv:68:
69;bus;;;;Graz Linien;AT-VVSt;at:stv:69:
72;bus;;;;Graz Linien;AT-VVSt;at:stv:72:
74;bus;;;;Graz Linien;AT-VVSt;at:stv:74:
75;bus;;;;Graz Linien;AT-VVSt;at:stv:75:
78;bus;;;;Graz Linien;AT-VVSt;at:stv:78:
80;bus;;;;Graz Linien;AT-VVSt;at:stv:80:
81;bus;;;;Graz Linien;AT-VVSt;at:stv:81:
82;bus;;;;Graz Linien;AT-VVSt;at:stv:82:
-
#
=== Nacht-Bus (Graz)
N1;bus;;;;Graz Linien;AT-VVSt;at:stv:1001:
N2;bus;;;;Graz Linien;AT-VVSt;at:stv:1002:
N3;bus;;;;Graz Linien;AT-VVSt;at:stv:1003:
N4;bus;;;;Graz Linien;AT-VVSt;at:stv:1004:
N5;bus;;;;Graz Linien;AT-VVSt;at:stv:1005:
