
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#

= Überblick über die ÖPNV-Linien des "Verkehrsverbund Tirol"

- Verweis auf die Datei mit den [[Austria/Nahverkehr_Tirol/Analyse/VVT-Linien|VVT-Linien]] im Wiki.
- Verweis auf mehr [/de/config.php?network=AT-VVT Informationen] bei PTNA.


== Züge

FV;train;Sonderfahrplan für den Fernverkehr Tirol;Landeck-Zams;Kufstein/Hochfilzen
ZB1;train;Zillertalbahn:Jenbach - Mayrhofen
201;train;Giselabahn:Wörgl - Kitzbühel - Hochfilzen - Saalfelden
223;train;Drautalbahn:Spittal-Millstättersee - Lienz - Sillian - San Candido/Innichen
300;train;Brennerbahn:Kufstein - Wörgl - Innsbruck - Brennero/Brenner
301;train;Jenbach - Innsbruck - Telfs-Pfaffenhofen/Scharnitz/Brennero
400;train;Arlbergbahn:Innsbruck - Landeck-Zams - Bludenz
410;train;Karwendelbahn;Innsbruck - Mittenwald - Ehrwald - Reutte - Pfronten-Steinach

== S-Bahn

S1;train;Drautalbahn(=ÖBB Kursbuch 223):Lienz – Spittal-Millstättersee (– Friesach – St. Veit an der Glan)
S2;train;Drautalbahn, Pustertalbahn(=ÖBB Kursbuch223):Lienz – Sillian – San Candido/Innichen (– Fortezza/Franzensfeste)
S3;train;Brennerbahn, Unterinntalbahn(=ÖBB Kursbuch 300, 301):(Hall in Tirol –) Innsbruck Hbf – Steinach in Tirol (– Brennero/Brenner)
S4;train;Arlbergbahn, Unterinntalbahn(=ÖBB Kursbuch 300, 301, 400):Kufstein – Innsbruck Hbf – Telfs-Pfaffenhofen (–Landeck-Zams)
S5;train;Arlbergbahn, Unterinntalbahn(=ÖBB Kursbuch 300, 301, 400):Jenbach – Hall in Tirol – Innsbruck Hbf – Ötztal (– Imst-Pitztal – Landeck-Zams)
S6;train;Mittenwaldbahn(=ÖBB Kursbuch 410):Innsbruck Hbf – Seefeld (– Scharnitz – Garmisch-Partenkirchen – München Hbf)
S7;train;Außerfernbahn(=ÖBB Kursbuch 410):Garmisch-Partenkirchen – Reutte in Tirol – Pfronten-Steinach
