
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


#
# TODO: Zuordnen der mehrfach vorkommenden 'ref'-Werte zu den jeweiligen regionalen Linien
#


= Überblick über die ÖPNV-Linien des Verkehrsverbund Vorarlberg (VVV)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Vorarlberg/Analyse/VVV-Linien|VVV Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-VVV Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
==S-Bahn
S1;train;Lindau - Bregenz - Dornbirn - Hohenems - Götzis - Rankweil - Feldkirch - Bludenz;;;;1-MS1-V-j26-1
REX1;train;Lindau - Bregenz - Dornbirn - Hohenems - Götzis - Rankweil - Feldkirch - Bludenz;;;;2-RX1-V-j26-1
R1;train;Bregenz - Dornbirn - Hohenems - Götzis - Rankweil - Feldkirch - Bludenz
S2;train;(Zürich) - Buchs - Schaan - Nendeln - Feldkirch und retour;;;;1-S2-V-j26-1
R2;train;Buchs - Schaan - Nendeln - Feldkirch und retour;;;;3-R2-V-j26-1
S3;train;(Lindau - Lochau) - Bregenz - Hard - Lustenau - St. Margrethen;;;;1-S3-V-j26-1
S4;train;Bludenz - St. Anton i. M. - Vandans - Schruns (Montafonerbahn);;;;1-MB4-j26-1
R5/S5;train;Lustenau - Dornbirn - Feldkirch und retour;;;;3-R5-V-j26-1
S7;train;;;;;1-S7-V-j26-1
REX7;train;;;;;2-RX7-V-j26-1
-
#
==Stadtbus Bregenz
101;bus;Bahnhof - Am Tannenbach - Bahnhof;;;Stadtbus Bregenz;AT-VVV;at:vvv:101:;
102;bus;Achsiedlung - Mehrerau - Bahnhof;;;Stadtbus Bregenz;AT-VVV;at:vvv:102:;
103;bus;Achsiedlung - Mariahilf - Bahnhof;;;Stadtbus Bregenz;AT-VVV;at:vvv:103:;
104;bus;Bahnhof - Landeskrankenhaus - Achbrücke - Achsiedlung;;;Stadtbus Bregenz;AT-VVV;at:vvv:104:;
105;bus;Bahnhof - LKH - Stadtwerke - Bahnhof;;;Stadtbus Bregenz;AT-VVV;at:vvv:105:;
-
#
==Landbus Unterland
118;bus;Bregenz Bahnhof - Fluh;;;Landbus Unterland;AT-VVV;at:vvv:118:;
119;bus;Bregenz Bahnhof - Landeskrankenhaus - Bahnhof;;;Landbus Unterland;AT-VVV;at:vvv:119:;
120;bus;Bregenz - Lochau - Hörbranz;;;Landbus Unterland;AT-VVV;at:vvv:120:;
121;bus;Lochau Bahnhof - Hörbranz - Hohenweiler (-Niederstaufen);;;Landbus Unterland;AT-VVV;at:vvv:121:;
124;bus;"Lochau-Hörbranz-Lochau";;;Landbus Unterland;AT-VVV;at:vvv:124:;
125;bus;Bregenz - Lochau - Hörbranz;;;Landbus Unterland;AT-VVV;at:vvv:125:;
126;bus;Lochau - Hörbranz - Hohenweiler - Niederstaufen;;;Landbus Unterland;AT-VVV;at:vvv:126:;
127;bus;Lochau - Eichenberg - Möggers - Scheidegg - Lindau;;;Landbus Unterland;AT-VVV;at:vvv:127:;
128;bus;Lochau - Pfänder;;;Landbus Unterland;AT-VVV;at:vvv:128:;
#129;bus;Lochau - Lindau-Reutin Bahnhof;;;Landbus Unterland;AT-VVV;at:vvv:129:;
130;bus;Bregenz - Hard Alma - Lauterach - Hohe Brücke - Dornbirn;;;Landbus Unterland;AT-VVV;at:vvv:130:;
131;bus;Bregenz - Kennelbach - Wolfurt - Hohe Brücke - Dornbirn;;;Landbus Unterland;AT-VVV;at:vvv:131:;
132;bus;"Dornbirn-Wolfurt";;;Landbus Unterland;AT-VVV;at:vvv:132:;
135;bus;Dornbirn - A14 -Lauterach - Hard - Bregenz;;;Landbus Unterland;AT-VVV;at:vvv:135:;
140;bus;Bregenz - Hard - Fußach - Höchst - Gaißau;;;Landbus Unterland;AT-VVV;at:vvv:140:;
141;bus;Bregenz - Hard - Fußach - Lustenau;;;Landbus Unterland;AT-VVV;at:vvv:141:;
145;bus;Bregenz - Lauterach - Hard - Lustenau Bahnhof;;;Landbus Unterland;AT-VVV;at:vvv:145:;
148;bus;Wolfurt - Lauterach - Hard;;;Landbus Unterland;AT-VVV;at:vvv:148:;
149;bus;Hard Schäfferhofstraße - Erlach - Brückenwaage;;;Landbus Unterland;AT-VVV;at:vvv:149:;
150;bus;Bregenz - Lauterach - Wolfurt - Schwarzach - Dornbirn;;;Landbus Unterland;AT-VVV;at:vvv:150:;
151;bus;Bregenz - Wolfurt - Schwarzach - Dornbirn;;;Landbus Unterland;AT-VVV;at:vvv:151:;
152;bus;"Wolfurt-Schwarzach-Dornbirn";;;Landbus Unterland;AT-VVV;at:vvv:152:;
158;bus;Alberschwende - Buch - Wolfurt;;;Landbus Unterland;AT-VVV;at:vvv:158:;
159;bus;Schwarzach - Bildstein - Alberschwende;;;Landbus Unterland;AT-VVV;at:vvv:159:;
160;bus;Gaißau - Höchst - Lustenau - Dornbirn;;;Landbus Unterland;AT-VVV;at:vvv:160:;
161;bus;Dornbirn - Lustenau;;;Landbus Unterland;AT-VVV;at:vvv:161:;
162;bus;"Dornbirn-Lustenau";;;Landbus Unterland;AT-VVV;at:vvv:162:;
163;bus;Höchst - Lustenau Industriegebiet Nord - Dornbirn;;;Landbus Unterland;AT-VVV;at:vvv:163:;
164;bus;Wolfurt - Lauterach - Lustenau Industriegebiet Nord;;;Landbus Unterland;AT-VVV;at:vvv:164:;
#165;bus;Gaißau - Höchst - Lustenau Bahnhof;;;Landbus Unterland;AT-VVV;at:vvv:165:;
166;bus;Lustenau Bahnhof - Sportpark - Wiesenrain;;;Landbus Unterland;AT-VVV;at:vvv:166:;
167;bus;"Lustenau Sportpark-Wiesenrain";;;Landbus Unterland;AT-VVV;at:vvv:167:;
168;bus;"Lustenau Bahnhof-Sportpark-Rathaus-Wiesenrain";;;Landbus Unterland;AT-VVV;at:vvv:168:;
170;bus;Hohenems Bahnhof - Spielerstraße - Otten Areal;;;Landbus Unterland;AT-VVV;at:vvv:170:;
171;bus;Hohenems Otten Areal - Rossa - Bahnhof;;;Landbus Unterland;AT-VVV;at:vvv:171:;
174;bus;Badebus Hohenems;;;Landbus Unterland;
175;bus;Schuttannen - Hohenems;;;Landbus Unterland;AT-VVV;at:vvv:175:;
#176;bus;Dornbirn Bahnhof - Ebnit;;;Landbus Unterland;
177;bus;Dornbirn Bahnhof - Gütle;;;Landbus Unterland;AT-VVV;at:vvv:177:;
180;bus;Dornbirn - Hohenems - Götzis;;;Landbus Unterland;AT-VVV;at:vvv:180:;
181;bus;Dornbirn - Hohenems - Altach - Mäder - Koblach;;;Landbus Unterland;AT-VVV;at:vvv:181:;
182;bus;"Dornbirn-Hohenems-Altach-Götzis";;;Landbus Unterland;AT-VVV;at:vvv:182:;
184;bus;Hohenems - Lustenau;;;Landbus Unterland;AT-VVV;at:vvv:184:;
185;bus;Lustenau - Hohenems - Götzis;;;Landbus Unterland;AT-VVV;at:vvv:185:;
186;bus;Hohenems - Altach - Mäder - Götzis;;;Landbus Unterland;AT-VVV;at:vvv:186:;

201;bus;"Dornbirn Bahnhof-Messequartier";;;Landbus Unterland;AT-VVV;at:vvv:1201:;
206;bus;"Dornbirn Bahnhof-Am Eisweiher";;;Landbus Unterland;AT-VVV;at:vvv:1206:;
302;bus;"Altach Bahnhof-Götzis Bahnhof";;;Landbus Unterland;AT-VVV;at:vvv:1302:;
307;bus;"Götzis Bahnhof-Unteres Tobel-Altach Kirche";;;Landbus Unterland;AT-VVV;at:vvv:1307:;
-
#
==Stadtbus Dornbirn
201;bus;Bahnhof - Schoren Bahnhof - Messequartier;;;Stadtbus Dornbirn;AT-VVV;at:vvv:201:;
202;bus;Bahnhof - Mühlebach - Pfarrheim Wallenmahd;;;Stadtbus Dornbirn;AT-VVV;at:vvv:202:;
203;bus;Bahnhof - Hatlerdorf Bahnhof - Pfarrheim Wallenmahd;;;Stadtbus Dornbirn;AT-VVV;at:vvv:203:;
204;bus;Bahnhof - Forach - Wieden - Am Stiglbach;;;Stadtbus Dornbirn;AT-VVV;at:vvv:204:;
205;bus;Bahnhof - Kirche Rohrbach - Messepark;;;Stadtbus Dornbirn;AT-VVV;at:vvv:205:;
206;bus;Bahnhof - Im Porst - Am Eisweiher;;;Stadtbus Dornbirn;AT-VVV;at:vvv:206:;
207;bus;Bahnhof - Inatura - Sägerbrücke (- Waldbad Enz);;;Stadtbus Dornbirn;AT-VVV;at:vvv:207:;
208;bus;Bahnhof – Am Stiglbach;;;Stadtbus Dornbirn;AT-VVV;at:vvv:208:;
209;bus;Bahnhof - Steinebach - Kehlegg;;;Stadtbus Dornbirn;AT-VVV;at:vvv:209:;
210;bus;Bahnhof - Oberdorf - Sägerbrücke - Schoren - Messequartier;;;Stadtbus Dornbirn;AT-VVV;at:vvv:210:;
211;bus;"Dornbirn Messequartier-Bahnhof";;;Stadtbus Dornbirn;AT-VVV;at:vvv:211:;
212;bus;Bahnhof - Kastenlangen;;;Stadtbus Dornbirn;AT-VVV;at:vvv:212:;
-
#
==Ortsbus am Kumma
301;bus;Götzis Berg / Oberer Parkplatz - Bahnhof - Appenzeller Straße;;;Ortsbus am Kumma;AT-VVV;at:vvv:301:;
302;bus;Götzis Bahnhof - Altach Kirche - Feuerwehr - Bahnhof;;;Ortsbus am Kumma;AT-VVV;at:vvv:302:;
303;bus;Götzis Bahnhof - Zentrum - Bahnhof;Götzis Bahnhof;Zentrum;Ortsbus am Kumma;AT-VVV;at:vvv:303:;
304;bus;Götzis Bahnhof - Mäder - Götzis Bahnhof;;;Ortsbus am Kumma;AT-VVV;at:vvv:304:;
305;bus;Götzis Bahnhof - Mäder Industriegebiet - Götzis Bahnhof;;;Ortsbus am Kumma;AT-VVV;at:vvv:305:;
