service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
rf:dsr:april,0,0,0,0,1,1,1,20260327,20260430
rf:dsr:october,0,0,0,0,1,1,1,20261001,20261004
rf:dsr:may,1,1,1,1,1,1,1,20260501,20260531
rf:dsr:september,1,1,1,1,1,1,1,20260901,20260930
rf:dsr:summer_wd,1,1,1,1,1,0,0,20260601,20260831
rf:dsr:summer_we,0,0,0,0,0,1,1,20260601,20260831
rf:kk:marchapril_wd,1,1,1,1,1,0,0,20260327,20260430
rf:kk:marchapril_we,0,0,0,0,0,1,1,20260327,20260430
rf:kk:mayjune_wd,1,1,1,1,1,0,0,20260501,20260630
rf:kk:mayjune_we,0,0,0,0,0,1,1,20260501,20260630
rf:kk:julyaugust_wd,1,1,1,1,1,0,0,20260701,20260831
rf:kk:julyaugust_we,0,0,0,0,0,1,1,20260701,20260831
rf:kk:septemberoctobernovember_wd,1,1,1,1,1,0,0,20260901,20261102
rf:kk:septemberoctobernovember_we,0,0,0,0,0,1,1,20260901,20261102
rf:sa:summer_wd,1,1,1,1,1,0,0,20260301,20261031
rf:sa:summer_we,0,0,0,0,0,1,1,20260301,20261031
rf:sa:winter,1,1,1,1,1,0,0,20261101,20270228
rf:wsl:spring,1,1,1,1,1,1,1,20260327,20260430
rf:wsl:summer_wd,1,1,1,1,1,0,0,20260501,20261011
rf:wsl:summer_we,0,0,0,0,0,1,1,20260501,20261011
rf:wsl:autumn,1,1,1,1,1,1,1,20261012,20261102
